ra,dec,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,e_bv,d,mag_fuv
271.0741617,-0.690589735,21.97614479,23.72158432,,,,,16.488,16.292,15.972,0.3,0.481578767,415,23.72158432
271.1448222,-0.749555173,20.99600601,21.00473976,,,,,15.579,15.134,14.821,0.3,0.524780214,415,21.00473976
271.028134,-0.89418233,20.73033524,22.60022545,13.92,12.527,12.033,11.371,9.526,8.872,8.699,0.3,0.533280015,415,22.60022545
271.0464853,-0.900136172,21.2965641,20.85794067,,,,,15.099,14.442,14.301,0.3,0.543847203,415,20.85794067
271.3205737,-1.019763495,21.81596565,99,16.778,15.693,15.13,14.52,12.749,12.156,11.987,0.3,0.695426881,415,---
271.1809027,-0.965128565,20.02692795,21.87157059,12.624,11.237,10.761,10.081,8.299,7.678,7.44,0.3,0.575167298,415,21.87157059
270.1891185,-0.681468086,21.01043892,21.47923851,16.174,15.261,14.894,14.426,13.36,12.884,12.669,0.3,0.520270586,415,21.47923851
270.0665895,-0.874369962,20.42204094,22.77444267,14.36,13.361,13.007,12.633,11.326,10.903,10.695,0.3,0.476616472,415,22.77444267
270.078738,-0.83373901,21.57416534,23.66462708,16.356,15.514,15.222,14.898,13.584,13.172,12.963,0.3,0.477459639,415,23.66462708
270.5974783,-0.043644101,21.46653557,22.82062531,,,,,14.499,14.216,13.826,0.3,0.365749061,415,22.82062531
270.6110761,-0.023456376,21.60391235,22.1993084,,,,,14.707,14.494,14.256,0.3,0.368863523,415,22.1993084
270.4720065,-0.140998536,22.00477409,25.08080101,,,,,15.113,14.838,14.607,0.3,0.389979154,415,25.08080101
270.8177809,-0.193965795,21.33565331,22.89984512,16.585,15.918,15.586,15.457,14.095,13.758,13.554,0.3,0.398808211,415,22.89984512
270.8293632,-0.230653906,21.95426178,23.98118019,,,,,16.265,15.617,15.429,0.3,0.408268094,415,23.98118019
272.516479,-0.518103248,21.55768585,21.65478897,,,,,16.513,15.858,15.001,0.3,0.822646737,415,21.65478897
272.7380149,-1.156572776,20.68926048,23.11385727,11.739,10.275,9.76,9.175,7.652,7.007,6.828,0.3,1.180814624,415,23.11385727
273.1406613,-1.203699664,21.98256111,23.12099838,,,,,16.197,15.63,14.969,0.3,1.347353935,415,23.12099838
273.0342338,1.355509148,19.61824417,23.21271515,11.637,9.997,,,6.86,6.112,5.87,0.3,0.697749674,415,23.21271515
272.8695668,1.146473178,21.86050797,23.69394493,,,,,14.533,13.971,13.822,0.3,0.765728176,415,23.69394493
273.3574867,1.134908432,21.72226143,99,,,,,15.013,14.374,14.274,0.3,0.787681043,415,---
274.8951677,0.96784511,21.23278427,22.06938934,,,,,16.025,15.431,14.399,0.3,1.0017519,415,22.06938934
275.3214768,0.913056855,21.80117035,99,,,,,13.572,12.998,12.826,0.3,1.257100821,415,---
274.5963559,0.90143877,21.88682556,99,,,,,14.582,13.864,13.735,0.3,1.023976207,415,---
274.8570189,0.841894627,19.72034073,23.97491646,9.912,8.779,8.634,7.069,4.208,3.24,2.952,0.3,1.015461445,415,23.97491646
