casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag
							--------	--------	------	------	------	------		------	------	------
-1016860814	6.37545E+18	270.6248914	-2.376663665	0.902180076	21.89090919	22.19981956	0.8	-0.9	16.205	15.275	14.804	14.488		13.354	13.084	12.993
-1016860812	6.37545E+18	270.4368682	-2.384859492	0.84664464	22.34771347	99										
-1016860810	6.37545E+18	270.5902596	-2.391890357	0.900180399	22.05516434	22.61915779										
-1016860809	6.37545E+18	270.5115014	-2.396145095	0.898612857	21.33930016	99	-0.4	4.4	      	      	      			12.443	12.1	11.959
-1016860808	6.37545E+18	270.5782232	-2.378829336	0.900180399	21.18021584	24.98279953	6.7	-18	      	      	      			11.966	11.571	11.479
-1016860806	6.37545E+18	270.6510091	-2.413929843	0.935884595	21.38710213	99	-1.6	3.6	15.955	14.669	14.153	13.67		12.101	12.042	11.923
-1016860805	6.37545E+18	270.6745044	-2.418028323	0.936249435	22.09836578	24.33905792	-3.1	-10.4	15.548	14.183	13.663	13.219		11.629	11.147	10.963
-1016860803	6.37545E+18	270.6041168	-2.390697594	0.900180399	22.08975029	24.49796867	-2.8	7.8	16.067	14.826	14.355	13.697		12.377	11.914	11.782
-1016860801	6.37545E+18	270.6418595	-2.419508029	0.935884595	21.40816307	99	-14.5	8.8	15.097	13.948	13.503	13.228		11.916	11.363	11.24
-1016860796	6.37545E+18	270.6417723	-2.439532909	0.935884595	21.42699432	99	-0.8	0.2	15.998	14.75	14.327	13.925		12.414	12.019	11.878
-1016860795	6.37545E+18	270.5144229	-2.441771537	0.891526759	21.51152039	99	-5.1	-2.9	15.505	14.088	13.662	13.359		11.826	11.359	11.254
-1016860794	6.37545E+18	270.4580588	-2.446472511	0.875727713	22.34180832	99										
-1016860793	6.37545E+18	270.9587898	-2.447344518	1.211577773	20.8540535	99	4.1	-11.6	15.129	14.052	13.625	13.326		11.854	11.487	11.394
-1016860792	6.37545E+18	270.8172004	-2.449876328	1.05255878	20.48091888	99	-11.8	-10.6	14.484	13.362	12.942	12.684		11.016	10.61	10.47
-1016860791	6.37545E+18	270.4736445	-2.453882342	0.875727713	18.5941925	99	-12.7	10.1	13.403	12.324	12.022	11.68		10.683	10.285	10.21
-1016860788	6.37545E+18	270.7700837	-2.467479419	1.012136698	20.42136192	99	12.8	-14.4	14.64	13.577	13.176	12.795		11.663	11.238	11.152
-1016860787	6.37545E+18	270.6717118	-2.463146743	0.972337961	18.82832336	22.75917625	-10.8	-5.3	12.841	11.758	11.401	11.121		9.937	9.468	9.375
-1016860785	6.37545E+18	270.948382	-2.480394297	1.205926538	22.21883583	23.71535492										
-1016860784	6.37545E+18	270.9707585	-2.477847714	1.277059197	20.75432205	99	-12.4	11.9	14.617	13.56	13.182	12.876		11.401	11.008	10.863
-1016860783	6.37545E+18	270.4929225	-2.475755677	0.905519426	19.85939789	23.06564331	8.8	9.6	13.973	12.763	12.49	12.342		11.057	10.628	10.522
-1016860782	6.37545E+18	270.5981128	-2.492027108	0.960297883	22.08716393	26.84035873										
-1016860781	6.37545E+18	270.4910343	-2.485840321	0.895624101	20.15377617	22.01893044	-90.1	108.4	      	      	      			11.536	11.151	10.955
-1016860778	6.37545E+18	270.5040695	-2.503787176	0.895624101	19.5366745	22.28891182	5.6	11.1	14.01	12.894	12.623	12.462		11.251	10.924	10.786
-1016860776	6.37545E+18	270.8437206	-2.51261653	1.065622449	21.86493111	99	4.6	-0.6	      	      	      			12.24	11.798	11.569
-1016860774	6.37545E+18	270.8393902	-2.514899032	1.065622449	19.97388458	99	-3.5	1.4	14.458	13.396	13.032	12.783		11.199	10.78	10.642
-1016860773	6.37545E+18	270.5475061	-2.53376684	0.93951261	20.88144112	22.04987144										
