n,objid,ra,dec,e_bv,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,d
120,6.37545E+18,272.6272045,0.539729697,0.523794353,20.84133148,19.6988945,16.747,15.111,14.422,13.759,11.973,11.306,11.026,0.3,415
121,6.37545E+18,270.906538,-0.682060111,0.473766208,21.72250366,26.34711075,,,,,16.775,15.841,15.012,0.3,415
122,6.37545E+18,270.8966113,-0.737778799,0.468883067,21.22838974,25.04645348,12.154,10.648,10.087,9.538,7.646,6.888,6.709,0.3,415
123,6.37545E+18,270.85291,-0.745275848,0.473893374,20.74117851,21.29742241,,,,,16.365,15.632,15.092,0.3,415
124,6.37545E+18,270.9115199,-0.815262133,0.512135088,21.08879852,23.91886139,15.672,14.706,14.411,14.107,12.839,12.465,12.099,0.3,415
125,6.37545E+18,270.9637762,-0.889153759,0.53888613,21.57729912,23.61969948,,,,,14.754,14.468,14.205,0.3,415
126,6.37545E+18,270.9695448,-1.19098092,0.586985111,21.64980888,27.92289925,,,,,14.811,14.234,13.974,0.3,415
127,6.37545E+18,272.7453949,0.223541558,0.593346953,21.4030304,23.67236137,13.475,11.872,11.298,10.61,8.894,8.216,7.981,0.3,415
128,6.37545E+18,272.8756025,0.213191838,0.58978796,20.31219673,22.38717842,12.227,10.86,10.375,9.774,8.244,7.646,7.413,0.3,415
129,6.37545E+18,272.872234,0.12009582,0.620310366,20.51844025,21.65822792,12.7,11.233,10.673,10.003,8.388,7.766,7.571,0.3,415
130,6.37545E+18,273.5993052,1.010259135,0.775381565,22.00631142,22.30950928,,,,,15.871,15.333,15.031,0.3,415
131,6.37545E+18,273.5237569,0.955536512,0.842811823,22.05809784,---,,,,,16.087,15.444,15.164,0.3,415
132,6.37545E+18,273.5017529,0.881150957,0.833456695,22.13875961,---,,,,,16.959,16.017,15.515,0.3,415
133,6.37545E+18,274.3310307,0.389294396,0.844412565,21.25227547,24.85804939,13.078,11.537,10.937,10.242,8.527,7.916,7.648,0.3,415
134,6.37545E+18,271.6752386,-0.324552235,0.537044764,21.39303398,23.67533875,17.878,17.02,,,14.799,14.468,14.213,0.3,415
135,6.37545E+18,271.7386059,-0.344388153,0.542078674,22.01075172,22.81487656,,,,,15,14.555,14.204,0.3,415
136,6.37545E+18,271.6469625,-0.402878179,0.559232712,21.74447441,24.79247665,,,,,16.066,15.847,15.557,0.3,415
137,6.37545E+18,271.6156573,-0.426134129,0.528618932,21.77161789,---,,,,,16.899,16.428,15.625,0.3,415
138,6.37545E+18,271.550893,-0.458705163,0.482267141,21.80572891,24.19107437,,,,,16.259,15.895,15.163,0.3,415
139,6.37545E+18,274.7107735,1.999078646,0.723815084,22.42103195,---,,,,,15.213,14.575,14.364,0.3,415
140,6.37545E+18,270.7799019,-0.940616199,0.578027606,22.04194069,22.80675888,,,,,12.896,12.075,11.931,0.3,415
141,6.37545E+18,272.0276322,0.480481166,0.494831592,19.42741966,19.26820374,,,,,14.665,14.009,13.717,0.3,415
142,6.37545E+18,274.5353008,1.345547952,0.97276628,22.1967659,22.48007202,,,,,15.859,15.265,15,0.3,415
