casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag	Jmag	Hmag	Kmag	IR	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016829609	2.56515E+18	275.9759137	1.490181078	1.462514162	21.17346001	25.14458466							15.085	14.228	13.94		3.971124649	6.945460007	-100	1.145	0.288
-1016829603	2.56515E+18	276.3854211	1.484343586	1.403692245	21.02447319	22.99562263							14.935	14.189	13.876		1.971149445	6.83547319	-100	1.059	0.313
-1016829599	2.56515E+18	276.1856639	1.484066691	1.404284954	21.90336418	99							17.133	16.032	15.579		-100	5.871364182	-100	1.554	0.453
-1016829585	2.56515E+18	276.2239465	1.480591035	1.464014411	21.14281082	23.14554405							13.728	13.092	12.864		2.002733231	8.050810822	-100	0.864	0.228
-1016878646	6.37545E+18	272.2470802	-1.459085648	1.131025195	21.74948692	99							16.076	15.521	15.317		-100	6.228486923	-100	0.759	0.204
-1016878622	6.37545E+18	272.4265382	-1.578858301	1.304541826	21.92697144	22.96298981	-1.9	-4.5					13.787	13.197	13.013		1.036018372	8.729971436		0.774	0.184
-1016878614	6.37545E+18	272.7203127	-1.612515905	1.725799322	20.91282463	22.02937126	3.2	-13.7	14.357	13.182	12.719	12.171	10.804	10.328	10.124		1.116546631	10.58482463	8.193824631	0.68	0.204
-1016878611	6.37545E+18	272.5260105	-1.629263135	1.39913094	19.02643967	22.75998497							16.525	17.14	16.644		3.733545303	1.886439667	-100	-0.119	0.496
-1016878558	6.37545E+18	272.0953818	-1.959440684	1.598187566	20.0681591	21.09961319	-3.9	1.7	13.631	12.403	11.965	11.274	9.682	9.345	9.126		1.031454086	10.7231591	8.103159103	0.556	0.219
-1016871800	6.37542E+18	270.0711554	-0.245694172	0.418806136	21.06941986	21.79987717	0.5	-5.8	13.68	12.354	11.902	11.392	9.867	9.236	9.054		0.730457306	11.83341986	9.167419861	0.813	0.182
-1016871764	6.37542E+18	270.1028923	-0.27705648	0.426535249	21.9547081	22.71779442	-10	-0.2	16.441	15.311	14.925	14.422	13.088	12.459	12.34		0.763086319	9.495708099	7.029708099	0.748	0.119
-1016871608	6.37542E+18	270.0720913	-0.391285959	0.422767013	21.60290909	22.66625786	-5.8	-9.5	17.172	16.704			15.117	14.911	14.598		1.06334877	6.691909088		0.519	0.313
-1016871529	6.37542E+18	270.0705404	-0.492778801	0.420335293	21.246418	22.71586227	-2.5	-6.6	17.027	16.195	15.883	15.573	14.571	14.234	13.991		1.469444275	7.012417999	5.363417999	0.58	0.243
