casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag					
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag					
							--------	--------	------	------	------	------		------	------	------	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016868831	6.37545E+18	271.3278411	-0.38314265	0.419285625	21.51481056	99	3.1	-6.6	16.297	15.417	15.069	14.758		13.408	13.029	12.886	-100	8.485810562	6.445810562	0.522	0.143
-1016868830	6.37545E+18	271.0424038	-0.382573267	0.417736322	20.7440815	22.31311417	-10	-13.5	      	      	      			14.852	14.649	14.595	1.569032669	6.095081497	#ЗНАЧ!	0.257	0.054
-1016868829	6.37545E+18	271.365104	-0.385968384	0.416419744	21.24646187	99	-73.4	-3.4	17.248	16.064	      			14.101	13.633	13.575	-100	7.613461868	#ЗНАЧ!	0.526	0.058
-1016868825	6.37545E+18	271.0529029	-0.388430994	0.417736322	21.32285881	99	5.9	-8.8	16.109	15.274	14.882	14.627		13.407	13.052	12.942	-100	8.27085881	6.44085881	0.465	0.11
-1016868823	6.37545E+18	271.0453751	-0.387815362	0.417736322	20.64300346	99	-1.2	5.7	13.478	12.163	11.699	11.175		9.547	8.909	8.726	-100	11.73400346	8.944003464	0.821	0.183
-1016868815	6.37545E+18	271.1990838	-0.395447685	0.428133041	20.18226433	99	-5.7	4	14.708	13.856	13.532	13.203		11.883	11.513	11.43	-100	8.669264328	6.650264328	0.453	0.083
-1016868814	6.37545E+18	271.0500175	-0.399930599	0.417736322	22.17630005	99	-1.7	-15.9	17.704	16.441	16.11			14.572	14.133	13.941	-100	8.043300049	6.066300049	0.631	0.192
-1016868807	6.37545E+18	271.269955	-0.375250488	0.428501189	20.98325348	22.89166832	-0.6	-9.5	15.665	14.773	14.416	14.067		12.704	12.364	12.211	1.908414841	8.619253479	6.567253479	0.493	0.153
-1016868806	6.37545E+18	271.0235697	-0.402483469	0.428464621	21.70036697	23.83948898	        	        	      	      	      			13.097	12.55	12.334	2.139122009	9.150366974	#ЗНАЧ!	0.763	0.216
-1016868805	6.37545E+18	271.1418554	-0.39952536	0.4243505	20.41046715	20.77805519	-10.2	-5.8	      	      	      			14.633	14.481	14.404	0.367588043	5.929467148	#ЗНАЧ!	0.229	0.077
-1016868803	6.37545E+18	271.3355307	-0.392510861	0.419285625	17.28028488	99	-39.5	11.5	12.145	11.466	11.231	11.06		10.065	9.733	9.632	-100	7.547284882	6.049284882	0.433	0.101
-1016868802	6.37545E+18	271.1949685	-0.405546478	0.428133041	21.8692131	24.97945595	0.6	-0.9	16.361	15.553	15.246	14.99		13.53	13.192	13.038	3.110242844	8.677213104	6.623213104	0.492	0.154
-1016868800	6.37545E+18	271.1664086	-0.405354823	0.4243505	21.5804615	99	-17.1	-21.6	16.387	15.691	15.381	14.966		13.689	13.32	13.12	-100	8.260461502	6.199461502	0.569	0.2
-1016868797	6.37545E+18	271.2222881	-0.405631806	0.433175951	21.00582123	99	0.9	-1.1	15.985	15.189	14.982	14.602		13.188	12.882	12.73	-100	8.123821228	6.023821228	0.458	0.152
-1016868796	6.37545E+18	271.0054335	-0.402612865	0.428464621	21.45309258	99											-100	-100	-100	-100	-100
-1016868795	6.37545E+18	271.0508227	-0.406597672	0.428464621	20.5342617	21.19879723	-10	-26.5	      	      	      			15.435	15.246	15.038	0.664535522	5.288261703	#ЗНАЧ!	0.397	0.208
-1016868789	6.37545E+18	271.3486321	-0.402814091	0.427582711	20.30540466	20.88192558											0.57652092	-100	-100	-100	-100
-1016868787	6.37545E+18	271.1155681	-0.408764313	0.419703811	19.73634148	22.54991531	-2.5	-9.4	14.885	14.102	13.892	13.545		12.226	11.873	11.768	2.813573837	7.863341476	5.844341476	0.458	0.105
-1016868784	6.37545E+18	271.0624209	-0.41526063	0.42440328	22.15746307	99											-100	-100	-100	-100	-100
-1016868775	6.37545E+18	271.2267206	-0.418434233	0.433175951	21.52025795	99	-7.3	-0.6	16.056	15.314	14.915	14.596		13.32	12.961	12.809	-100	8.55925795	6.60525795	0.511	0.152
-1016868773	6.37545E+18	271.2538083	-0.421710794	0.429748684	21.14767265	23.03530502	-0.5	-6.5	15.347	14.368	13.993			12.198	11.76	11.611	1.88763237	9.387672653	7.154672653	0.587	0.149
-1016868772	6.37545E+18	271.0492162	-0.421808361	0.434940904	21.59693909	99											-100	-100	-100	-100	-100
-1016868771	6.37545E+18	271.0916157	-0.424761173	0.42440328	21.76272011	99											-100	-100	-100	-100	-100
-1016868767	6.37545E+18	271.3028564	-0.427652608	0.438629448	21.60506821	21.63835526	-5	-5.7	16.77	15.895	15.513	15.444		13.778	13.443	13.265	0.033287048	8.162068207	6.092068207	0.513	0.178
-1016868765	6.37545E+18	271.192551	-0.430194845	0.432562232	20.81375504	20.30648804											-0.507266998	-100	-100	-100	-100
-1016868757	6.37545E+18	271.1246685	-0.436510619	0.431583136	21.75172043	99											-100	-100	-100	-100	-100
-1016868755	6.37545E+18	271.1819548	-0.434618607	0.432562232	20.14375114	23.35441971	6	7.3	15.049	14.242	13.914	13.656		12.255	11.928	11.818	3.210668564	8.215751144	6.229751144	0.437	0.11
-1016868752	6.37545E+18	271.0532693	-0.437196692	0.434940904	20.93492317	23.70116425	0.2	-3.5	15.404	14.54	14.201	13.925		12.492	12.172	12.03	2.766241074	8.762923172	6.733923172	0.462	0.142
-1016868751	6.37545E+18	271.3294852	-0.440689705	0.43068856	21.81027412	99	-3.4	-9.3	      	      	      			13.591	13.208	13.147	-100	8.602274124	#ЗНАЧ!	0.444	0.061
-1016868749	6.37545E+18	271.1323269	-0.43934769	0.426874727	20.54585648	99	-2.3	0.8	15.82	14.996	14.763	14.502		13.148	12.876	12.825	-100	7.669856476	5.782856476	0.323	0.051
-1016868748	6.37545E+18	271.0256685	-0.443609888	0.453114122	21.80484772	22.35402489											0.54917717	-100	-100	-100	-100
-1016868744	6.37545E+18	271.1863229	-0.443209945	0.432562232	20.27053642	25.46166992	-0.3	-6.1	14.93	14.026	13.74	13.33		12.054	11.663	11.562	5.191133499	8.607536423	6.530536423	0.492	0.101
-1016868742	6.37545E+18	271.2058541	-0.450105215	0.432562232	21.90616226	99								15.681	15.228	15.168	-100	6.678162262	-100	0.513	0.06
-1016868741	6.37545E+18	271.1796405	-0.443076149	0.426874727	18.81481171	99	-2.5	-11.9	14.164	13.485	13.281	13.03		11.657	11.277	11.227	-100	7.537811707	5.533811707	0.43	0.05
-1016868737	6.37545E+18	271.2121487	-0.425950196	0.433175951	21.52091217	23.49046326	-4.2	-5.4	15.659	14.757	14.393	14.085		12.673	12.28	12.154	1.969551086	9.24091217	7.12791217	0.519	0.126
