ra	dec	FUV-NUV	J-K	H-K	NUV-H	NUV-R
18.40289975	-4.357080777	2.621866226	0.346	0.02	6.506166031	5.170166031
18.39621456	-4.534961674	5.080884933	0.373	0.029	7.023353821	5.488353821
18.52975112	-4.343878354	2.032636642	0.347	0.119	5.872692917	-100
18.40617893	-4.232883363	4.194890976	15.582	15.309	3.64724733	-100
18.40617893	-4.232883363	4.194890976	1.295	0.5	3.90724733	-100
18.45436754	-4.924292142	5.763282776	0.569	0.063	9.021744919	7.132744919
18.33129572	-4.527913426	-100	0.437	0.099	7.204068207	5.792068207
18.47441848	1.464201999	1.740083694	1.704	1.097	3.624591705	-100
18.69564614	1.676395627	6.903106689	0.363	0.071	7.21351004	5.98651004
18.66022338	1.779409807	5.21068573	0.285	0.014	4.177614594	3.053614594
18.62725575	-1.841770969	-100	0.199	0.057	4.529676941	3.422676941
18.54895408	-1.764095426	-100	0.529	0.068	8.099800598	6.378800598
18.51903996	-1.688731978	1.924852371	0.512	0.243	6.247875809	-100
18.37050337	-4.884852054	7.921453476	0.244	0.033	5.444548111	4.349548111
18.30692718	-4.621054123	1.252819061	0.317	0.069	6.008364838	4.768364838
18.3718761	-4.610715154	9.575222015	0.406	0.106	7.181251648	5.826251648
18.52020938	-2.113846146	10.26973724	0.279	0.074	6.808434982	4.693434982
18.60245472	-1.81231635	2.105730057	0.309	0.2	5.161279419	-100
18.48399234	-3.999684395	3.220321655	1.067	0.549	4.412955307	-100
18.38713393	-3.289986629	-100	1.467	0.574	5.114419983	-100
18.41457986	-3.534245695	-100	0.594	0.114	9.782967865	7.993967865
18.693565	0.579091352	-1.20158577	1.532	0.579	6.879184448	-100
18.35228477	-3.461059219	0.829156876	0.462	0.023	6.238802261	4.899802261
18.43436419	-4.944413906	4.127048492	0.61	0.095	7.05159845	5.45959845
18.43528222	-4.245317225	3.744573593	0.396	0.109	7.70492128	6.37692128
18.40792558	-3.906820498	5.130626678	0.346	0.03	6.29454248	5.07154248
18.49109834	-3.206123461	2.348831177	1.146	0.539	4.857584824	-100
18.56601854	0.882109402	0.999940872	1.687	0.478	6.238777725	-100
18.45979088	0.884804454	0.803888321	0.604	0.113	9.752044815	7.883044815
18.61338733	-0.217337023	-100	0.414	0.076	7.287952332	5.929952332
18.43601379	-3.365689947	-100	-0.033	-0.466	5.85255545	-100
18.56394847	0.421219505	2.802713394	0.405	0.036	6.849008102	5.370008102
18.46664003	0.755577751	-100	1.13	0.678	5.322464523	-100
18.60286786	0.870763351	6.003128052	1.052	0.265	3.786115936	-100
18.33760945	-4.075777119	-100	0.921	0.339	5.700383774	-100
18.40414175	-3.609462849	10.24637127	0.291	0.085	5.712689537	4.494689537
18.61826961	0.247406669	2.224937439	0.504	0.064	6.546108215	-100
18.49646131	-2.866654921	4.027284622	0.406	0.054	7.178335693	5.823335693
18.3881258	-2.686594452	-100	0.341	0.003	6.915444031	5.553444031
18.44984338	-2.411314483	1.118494034	0.575	0.126	8.257467255	6.630467255
18.44118721	-2.270000065	5.361974716	0.359	-0.001	6.485607635	5.091607635
18.31213344	-4.959453744	4.229293823	0.393	0.035	6.483625244	5.098625244
18.61179442	-1.492047251	1.189954758	0.4	0.131	6.660471848	5.358471848
18.64004236	-1.478355938	2.739496231	0.389	-0.047	6.230973923	4.772973923
18.51272516	-3.958760589	1.393932343	0.477	0.068	7.52797937	6.09197937
18.63048679	0.791935768	5.790365219	0.95	0.417	3.554328018	-100
18.30822483	-3.225999581	-100	0.568	0.132	8.940168076	7.298168076
18.42782664	-3.235896518	3.084066391	0.315	0.047	5.610365906	4.502365906
18.47328164	0.760066064	5.200536728	1.048	0.712	4.602354446	-100
18.41042618	-3.1532676	3.293272018	0.553	0.051	8.457768784	6.771768784
18.36069769	-2.76372433	1.78030777	0.44	0.07	8.460226807	6.938226807
18.66211527	-0.801140789	-1.784067154	1.462	0.707	5.310690887	-100
18.52171732	-3.089148234	2.682094574	0.515	0.082	9.305214264	7.649214264
18.30556105	-3.032474345	2.716625214	0.367	0.005	5.885430176	4.548430176
18.44412372	-2.728288952	-100	0.287	0.058	5.430403107	4.355403107
18.43358384	-3.392110454	-100	0.304	0.009	5.720376297	4.536376297
18.43053645	-3.248777058	3.307952881	0.352	0.061	6.63074855	5.47074855
18.30072172	-3.233988448	7.597505569	0.3	0.014	5.895985901	4.770985901
18.49799992	-3.201726716	2.69993782	1.4	0.482	4.741983963	-100
18.39789982	-3.176116381	-100	16.803	16.02	6.112476807	-100
18.49892842	-3.085231594	0.694669724	0.419	0.032	8.070101395	6.486101395
18.5847827	-0.270873728	-100	0.414	0.017	6.874164871	5.393164871
18.62689975	-1.510011365	1.016601563	0.573	0.102	9.007704529	7.160704529
18.46359741	-1.331792791	-100	1.385	0.602	6.514654709	-100
18.33984072	-2.789417696	-100	0.375	0.047	7.242102478	5.950102478
18.31758326	-2.783119225	1.93318367	0.427	0.107	7.74702681	6.37202681
18.35324298	-2.767715191	2.957616806	1.82	0.953	5.898583054	-100
18.6782287	0.735941741	4.433769226	0.983	0.454	5.006809814	-100
18.56578559	0.765895228	-100	0.874	0.391	2.962576599	-100
18.71429884	-1.456249363	-0.171630859	1.828	1.073	5.63113826	-100
18.6748662	-1.367633633	-100	1.065	0.728	5.523126755	-100
18.67042504	-1.362644034	1.703012466	0.277	-0.086	6.040626907	-100
18.51481178	-1.231719411	-100	0.388	-0.052	6.892621185	-100
18.48395503	-1.081400507	-100	0.605	0.277	7.303765015	-100
18.45763801	-1.363171314	2.776643753	0.536	0.113	7.772375275	6.118375275
18.66711215	-1.276009427	-3.28767395	0.5	0.066	8.141526474	6.348526474
18.50281181	-2.698231488	4.801044464	0.347	-0.057	5.713264877	4.322264877
18.69981874	-1.031938076	-100	0.611	0.077	8.878073242	6.836073242
18.64894016	-1.034649308	1.776378632	-0.604	-0.963	6.638049805	-100
18.44138771	0.945662868	3.798599243	0.589	0.183	2.959730011	-100
18.47401114	1.037264436	-100	1.099	0.477	5.137350861	-100
18.46533499	1.08655326	-0.001466751	1.264	0.328	6.100009552	-100
18.67516993	1.438936801	3.243200302	0.537	0.102	8.506112869	6.909112869
18.55713913	1.47400388	9.032951355	0.326	0.115	5.842203369	4.741203369
18.53977625	1.518978155	6.69506073	0.384	0.081	6.384471313	5.210471313
18.6134781	1.715610262	5.321159363	0.391	0.198	5.665173233	4.777173233
18.58831301	-0.852410216	4.709365845	0.993	0.396	3.59441655	-100
18.59727121	-0.784178925	3.07985878	0.57	0.355	5.587956345	-100
18.4688449	-2.847044388	1.496313095	0.345	0.02	6.627853546	5.357853546
18.32442189	-2.518343952	6.467578888	0.968	0.638	3.432140381	-100
18.53101656	-2.447331158	-0.264467239	0.333	-0.029	5.873209885	4.590209885
18.65163784	-0.026498364	-100	1.046	0.369	4.212439682	-100
18.38304363	-3.313962474	6.583498001	0.696	0.155	10.82159297	8.238592972
18.66213621	0.983335891	-0.521114349	0.416	-0.036	6.722710175	5.278710175
18.4384406	-3.081759246	-100	0.578	0.1	8.011784149	6.383784149
18.55969016	-3.055969627	1.311542511	0.584	0.127	7.746976013	6.136976013
18.63499935	1.150764725	-100	0.327	0.112	5.334112549	-100
18.70322145	-0.495861153	-100	1.359	0.663	2.959758743	-100
18.51676189	-3.500359583	1.937982559	0.491	0.073	9.01058316	7.38758316
18.38042445	-4.208626464	-100	1.204	0.435	4.585220932	-100
18.50022467	-1.439284026	1.510166168	0.393	0.047	6.3650513	4.9240513
18.50212434	-1.394568571	-0.016399384	0.572	0.105	9.270712128	7.482712128
18.37610473	-3.661360416	2.356563568	1.209	0.367	5.784036133	-100
18.44554853	-1.343033828	-0.099163055	0.524	0.112	8.989766083	7.288766083
18.62367363	-1.324785543	0.498617172	0.507	0.093	8.915536865	7.165536865
18.61659745	-0.793210261	2.77327919	-0.61	-0.768	5.544107254	-100
18.47646791	-0.732074105	-100	1.269	0.305	4.383658722	-100
18.35039497	-4.11595773	1.5222435	0.45	0.048	8.164348907	6.667348907
18.39506512	-3.320668401	-100	0.487	0.04	7.422648941	-100
18.46423976	-3.522110984	3.084527969	0.32	0.015	6.333383118	5.094383118
18.44338874	-1.377466008	3.121799469	0.415	0.066	7.755863342	6.252863342
18.50439956	-1.355669167	3.530908585	0.347	0	6.547115219	5.035115219
18.61441597	-1.275953128	2.555822372	1.472	0.892	3.534787033	-100
18.56799084	-3.132637259	7.125671387	0.379	0.087	7.432075195	6.140075195
18.5083527	-2.766979053	2.518922806	1.196	0.64	5.064675491	-100
18.35884564	-3.945260495	3.775527954	1.56	0.748	4.87893605	-100
18.30342055	-4.052996511	3.946893692	1.026	0.212	13.54167577	10.53967577
18.45398145	-1.537988204	1.695856094	0.533	0.065	10.0501163	8.175116302
18.56521326	-2.889971758	6.093366623	0.364	0.05	6.259295593	5.078295593
18.44297871	-1.470392082	4.180393219	16.957	15.225	4.03659668	-100
18.50657029	1.424428792	-100	0.381	0.095	6.399570892	5.136570892
18.55467144	-2.314796734	6.285209656	0.306	0.042	5.873224274	4.676224274
18.6080402	-2.3009442	2.99045372	0.463	0.052	7.746197571	5.964197571
18.54399706	-2.372561621	-100	1.35	0.445	5.912073364	-100
18.46124553	-2.275643713	5.055576324	0.099	-0.52	6.257306732	4.591306732
18.47766056	1.009248916	3.616970062	1.063	0.539	4.307734238	-100
18.66107511	-1.020510413	3.648420334	1.349	0.626	6.954630585	5.235630585
18.66107511	-1.020510413	3.648420334	2.732	1.955	5.825630585	5.235630585
18.44243892	-0.949407237	2.248767853	0.581	0.154	8.275490952	6.594490952
18.38727196	-4.171063739	-100	0.51	0.278	5.817619278	4.694619278
18.44032433	1.0650143	0.598768234	0.923	0.246	5.114605408	-100
18.62076148	1.118394298	-0.247537613	0.477	0.05	7.570472488	5.940472488
18.52309157	1.683762305	4.105276108	0.841	0.141	13.12107547	10.51107547
18.46869508	-1.737295541	1.106624603	0.593	0.11	9.383763916	7.556763916
18.58053162	-1.04719962	0.531402588	0.84	0.078	7.223835678	-100
18.71996478	-1.033543767	-100	0.384	0.078	6.735658646	5.324658646
18.52009721	-1.044852266	7.55989933	0.378	0.093	5.683345924	4.411345924
18.35167513	-2.839334514	-100	0.461	0.186	6.844867569	5.545867569
18.68952431	-2.416417785	-100	0.638	0.106	10.06951877	8.081518768
18.49078151	-2.262517612	-100	0.45	0.05	6.544165588	4.965165588
18.35803309	-2.616913069	3.888311386	0.285	-0.019	6.946133865	-100
18.56399157	-2.379904541	1.29776001	1.631	0.807	2.923794708	-100
18.67838625	-2.263788537	4.653142929	0.418	0.066	7.14070546	5.71470546
18.52134193	-2.682590949	-100	0.388	0.003	7.399550522	5.853550522
18.64558018	-2.427123179	7.807956696	0.415	0.071	8.451292816	6.945292816
18.57014791	-2.226849641	3.461524963	0.537	0.107	4.496982437	3.361982437
18.50905139	-0.844818139	1.810886383	1.401	0.53	4.04741066	-100
18.57794115	1.168078238	2.232116699	0.407	0.069	5.106253433	3.831253433
18.6321147	0.152675907	4.358354568	0.752	0.116	10.94040831	8.45140831
18.62417289	0.204888723	1.976215363	1.153	0.425	5.229287018	-100
18.48480012	-0.102396565	0.097332001	0.386	0.068	6.757624817	5.507624817
18.55089122	-4.812365443	2.641090393	0.395	0.08	6.349426605	4.951426605
18.66304766	1.238365458	5.662378311	0.529	0.047	8.236663193	6.493663193
18.68816908	1.281562804	3.446193695	0.408	0.037	5.48448317	4.24048317
18.44708628	-1.329666615	-100	0.443	0.01	7.962341263	6.343341263
18.64594993	-1.229439783	-100	1.141	0.509	5.308785797	-100
18.55250737	1.301546758	-100	0.373	0.065	7.366381439	6.090381439
18.56778725	1.478608537	6.170059204	0.285	0.097	5.456895935	4.518895935
18.62047234	0.283530389	1.991884232	1.338	0.457	4.736540573	-100
18.46480521	1.33464152	3.92064476	0.429	0.016	7.511023849	6.067023849
18.50827233	1.520960739	2.105453491	1.352	0.619	5.322077118	-100
18.46172609	-0.754689274	2.025999069	0.516	0.044	7.711747726	6.059747726
18.55175436	-0.739682081	6.127565384	0.562	0.077	9.32623085	7.45823085
18.53401844	-0.73344176	-100	1.367	0.72	4.281242355	-100
18.47625628	-0.701951259	2.040140152	0.521	-0.102	7.045267548	-100
18.47684261	1.291553959	1.921808243	0.485	0.412	6.180060303	-100
18.6809031	-1.270649201	-0.185878754	0.855	0.179	12.64007428	9.82507428
18.54577482	-1.220476601	1.267492294	0.23	-0.102	6.740293381	5.287293381
18.53590105	-1.069446277	1.186752319	0.459	0.019	9.450921707	7.757921707
18.59757582	1.367616221	4.355215073	0.392	0.07	4.539243301	3.401243301
18.57789016	1.687670656	3.092359543	0.577	0.207	5.605588501	4.455588501
18.56029332	-4.446735153	3.703271866	0.454	0.044	6.16916127	4.72316127
18.4343241	-3.530984051	1.689245224	0.347	-0.05	6.762582336	5.508582336
