ra	dec
18.66444512	-0.071252486
18.62417314	0.859101872
18.36041951	-3.98771023
18.58519289	0.928950593
18.55502831	-0.908962112
18.65681505	-0.846056652
18.51966521	-0.802558363
18.5153476	-0.769396101
18.62822481	0.325289264
18.47853986	1.95569852
18.56113524	-0.777368989
18.62433876	-0.685045497
18.50031317	-0.506311184
18.62585278	0.52972602
18.57225973	-0.692301372
18.54160317	-1.216048663
18.53285237	0.847035568
18.61076112	-0.190296934
18.50930472	-0.592261513
18.65408955	0.337249795
18.67899672	1.009731886
18.54564782	-2.92638058
18.49453667	-0.114406577
18.46343291	-1.543176661
18.48181158	-1.524218804
18.56200403	-0.911987516
18.65472974	-1.38482832
18.48122993	-1.167960819
18.60103467	0.398269318
18.70359561	0.630458475
18.69545233	0.52433029
18.57842365	0.586713975
18.48183126	1.095422196
18.54455583	0.668159529
18.5216348	0.665302341
18.70983384	1.003706784
18.65021944	-0.058152417
18.59041553	0.689643834
18.62655424	0.072699094
18.48085363	1.402768312
18.63830228	0.021270778
18.5729445	0.070108254
18.49183262	-1.837445057
18.60412787	-1.249365167
18.52527859	-1.098064913
18.69216347	-0.094518963
18.59701044	-1.442797804
18.69284141	-0.000683693
18.61688093	-0.848675546
18.60867029	-1.797318009
18.44234528	-0.361000783
18.64087252	1.605786834
18.53153995	-0.736029088
18.65491219	-1.498805624
18.62157412	-1.428241445
18.70677694	-1.408645933
18.48998012	-1.356428593
18.44206934	-1.072789483
18.5864953	-0.898673497
18.5900705	0.179643753
18.58574301	-1.201910328
18.53624202	-1.186245413
18.61124792	-1.233463043
18.5292524	-0.937151379
18.61975571	-0.808810777
18.45000657	0.799768755
18.57660008	0.988351107
18.52355692	-0.946350614
18.58543547	-0.704853352
18.52991389	-0.912363321
18.7059661	0.005176401
18.45194137	0.18891364
18.44284625	0.305847167
18.45585509	-0.727181335
18.54205505	0.201990377
18.44523645	0.202179489
18.48495038	0.389610365
18.68273452	0.286153749
18.51374134	0.556310605
18.63419447	0.532282685
18.50771912	0.54454097
18.51317827	-0.230809087
18.68024037	-0.124671816
18.55584833	-0.28407279
18.69427221	-0.604694825
18.46257025	-0.661704053
18.54192591	-1.036159462
18.65033144	0.523211077
18.67098747	0.070568913
18.68137895	0.089913723
18.57251973	-0.883892111
18.64159195	-0.795711439
18.46379288	0.181817511
18.48819781	0.371698817
18.48122358	0.41224639
18.66645039	0.468640608
18.61025202	0.830734022
18.71319218	0.550910527
18.62297498	0.47008519
18.637413	0.233314279
18.69633461	0.551092312
18.6898839	0.577467447
18.61351224	0.742073901
18.57120627	0.351877964
18.58844817	1.004848736
18.69828325	1.037338687
18.62356231	0.516589616
18.50899969	0.386195474
18.56858699	0.993160623
18.52742033	0.743258023
18.32877865	-4.921680927
18.47764388	0.055107405
18.5784229	0.370855393
